x,y,z,r,c
7.89252,0.988684,5.20076,0.345613,1
9.21512,7.15732,9.19453,0.344453,1
7.29672,8.52227,7.90446,0.131068,0
4.35887,7.26627,8.8972,0.414615,0
4.81838,0.597015,9.26779,0.300781,0
5.90238,4.51686,7.14444,0.507346,0
9.06,3.19171,2.81101,0.620168,1
4.57973,4.21861,6.68143,0.332658,1
4.74493,4.95896,5.50656,0.514197,1
