x,y,z,r,c
3.30162,5.06635,6.84663,0.263823,1
7.42924,6.04918,7.84203,0.370302,1
7.18313,2.77828,7.59323,0.207562,1
5.25317,4.67053,5.73514,0.546028,1
5,5,5,0.353517,0
