x,y,z,r,c
7.37223,3.16136,1.6423,0.336778,0
6.42119,8.05704,8.65466,0.168728,1
5.34661,5.44666,2.25117,0.132991,1
2.95308,3.89174,5.06703,0.241804,1
4.88475,3.28389,5.37863,0.521705,1
4.3459,4.07811,6.31998,0.618887,0
5,5,5,0.109964,1
