x,y,z,r,c
4.06227,9.53082,7.94339,0.407611,1
5.55525,4.90521,5.70586,0.286575,0
2.0472,2.25309,7.99022,0.481802,1
6.13629,8.42769,6.19242,0.573708,1
5.19852,3.45122,6.61973,0.36072,1
4.03915,4.95811,8.13907,0.163723,1
5,5,5,0.590066,0
