x,y,z,r,c
3.94524,9.04001,5.7143,0.407611,1
8.03316,4.68083,9.53462,0.342164,1
6.2197,5.84769,8.38021,0.286575,0
7.29962,8.09249,6.64865,0.3478,0
5.70105,1.77884,6.51295,0.430164,0
4.41928,6.27487,7.94431,0.220792,1
6.10336,5.33834,5.26897,0.56791,1
4.22158,4.61312,5.93879,0.37105,0
