x,y,z,r,c
5.11002,4.57794,5.4261,0.286575,0
1.37565,1.60708,8.16711,0.481802,1
6.59554,9.26848,6.83818,0.573708,1
5.33141,2.80459,7.19638,0.36072,1
4.67457,5.53683,5.78396,0.590066,0
5,5,5,0.206616,0
