x,y,z,r,c
5.63545,1.88011,5.45398,0.286575,0
5.57484,1.76902,7.92849,0.36072,1
2.85308,8.11324,7.34554,0.590066,0
4.48389,5.44988,6.47043,0.206616,0
4.83266,5.7767,7.25713,0.148524,1
5,5,5,0.554131,0
