x,y,z,r,c
7.73247,3.1999,0.73452,0.336778,0
2.65172,3.34431,3.69907,0.618887,0
0.441659,5.77572,8.15574,0.239256,1
3.79788,4.82828,9.15701,0.138163,0
3.72781,3.70122,9.24506,0.415378,1
5.66341,5.40168,7.97155,0.157527,0
4.51129,5.27097,5.36748,0.143016,0
