x,y,z,r,c
8.30093,3.15795,1.68461,0.336778,0
4.99129,3.03713,4.14243,0.345613,1
1.20628,6.59273,5.95241,0.157192,0
5.50244,1.27968,4.06767,0.477972,0
1.58868,5.63828,6.06332,0.288162,1
4.77911,1.96388,5.35402,0.433872,0
5.30731,6.59544,7.81714,0.528449,1
5.47982,3.88387,7.57917,0.434941,0
5.88682,5.99332,6.71713,0.218015,1
5.39184,4.26533,5.06028,0.53054,0
