x,y,z,r,c
7.98729,3.21622,0.751648,0.336778,0
4.22904,3.88707,6.59488,0.345613,1
0.544831,9.21693,2.54743,0.290161,0
4.39483,5.55169,6.72569,0.157192,0
5.69875,4.4165,5.92448,0.223951,0
5.72987,4.05161,6.1333,0.103647,1
5,5,5,0.381823,0
