x,y,z,r,c
6.5619,3.79522,8.71093,0.507346,0
3.95433,2.62234,9.57927,0.332658,1
4.33273,4.54177,9.32221,0.514197,1
2.90421,4.28429,8.16215,0.529182,1
4.95091,4.58608,5.60839,0.397784,1
