x,y,z,r,c
8.12594,0.702319,5.30488,0.345613,1
7.79562,8.94276,8.9227,0.131068,0
6.2951,4.22621,7.94466,0.507346,0
4.28001,3.54302,8.03475,0.332658,1
4.14688,4.84757,6.91557,0.514197,1
4.75744,4.54266,7.86925,0.49523,0
5,5,5,0.529182,1
