x,y,z,r,c
7.77109,3.22958,0.714838,0.336778,0
2.38029,3.24453,2.88204,0.618887,0
2.54013,6.42407,6.61467,0.143016,0
4.62616,4.88829,5.96311,0.487265,0
5.26883,4.82267,5.32022,0.345613,1
