time,id,x,y,z,rad,timeLife,mass,temp,charge
7.5,1,9.53023,2.41339,3.50643,0.430062,7,0.184953,397.707,0.192739
7.5,2,4.36036,5.14878,2.38121,0.414177,6,0.171543,355.246,-0.0746033
7.5,3,0.329063,3.39018,3.40229,0.0689095,5.5,0.00474852,1.63609,-0.996426
7.5,4,4.89044,1.61466,5.47213,1.00697,5,1.01399,5105.26,-1.21524
8,0,3.82047,6.24449,0.683387,0.00810887,8,6.57537e-05,0.00266594,0.99641
8,1,4.30221,5.52595,2.14313,0.414177,6.5,0.171543,355.246,-0.0746033
8,2,4.91902,1.63629,5.52095,1.06781,5.5,1.14021,6087.61,-1.75589
8.5,0,3.74184,6.59412,0.395613,0.00810887,8.5,6.57537e-05,0.00266594,0.99641
8.5,1,4.24406,5.90311,1.90506,0.414177,7,0.171543,355.246,-0.0746033
8.5,2,5.00353,1.63816,5.47458,1.15254,6,1.32834,7654.84,-1.66176
9,0,3.6632,6.94375,0.107839,0.00810887,9,6.57537e-05,0.00266594,0.99641
9,1,4.18591,6.28027,1.66699,0.414177,7.5,0.171543,355.246,-0.0746033
9,2,5.06431,1.73228,5.5077,1.16439,6.5,1.3558,7893.41,-2.52645
9.5,0,4.12776,6.65743,1.42892,0.414177,8,0.171543,355.246,-0.0746033
9.5,1,5.11637,1.80685,5.52286,1.19548,7,1.42916,8542.64,-3.20691
10,0,4.06961,7.03459,1.19084,0.414177,8.5,0.171543,355.246,-0.0746033
10,1,5.19641,1.8829,5.52716,1.22453,7.5,1.49948,9180.82,-2.84788
10.5,0,4.01147,7.41176,0.952772,0.414177,9,0.171543,355.246,-0.0746033
10.5,1,5.25108,2.00015,5.556,1.22719,8,1.50601,9240.81,-3.26816
11,0,3.95332,7.78892,0.714699,0.414177,9.5,0.171543,355.246,-0.0746033
11,1,5.30737,2.12276,5.58627,1.22719,8.5,1.50601,9240.81,-3.26816
11,2,5,1,5,0.151705,0.5,0.0230145,17.4571,-0.494627
11.5,0,3.89517,8.16608,0.476627,0.414177,10,0.171543,355.246,-0.0746033
11.5,1,5.36365,2.24538,5.61654,1.22719,9,1.50601,9240.81,-3.26816
11.5,2,4.60617,1.284,5.25528,0.151705,1,0.0230145,17.4571,-0.494627
11.5,3,5,1,5,0.198622,0.5,0.0394505,39.1786,-0.615403
12,0,5.41994,2.36799,5.64682,1.22719,9.5,1.50601,9240.81,-3.26816
12,1,4.21233,1.56801,5.51056,0.151705,1.5,0.0230145,17.4571,-0.494627
12,2,5.28708,1.38258,4.56253,0.198622,1,0.0394505,39.1786,-0.615403
12,3,5,1,5,0.120069,0.5,0.0144165,8.65487,0.638694
12.5,0,5.47622,2.4906,5.67709,1.22719,10,1.50601,9240.81,-3.26816
12.5,1,3.8185,1.85201,5.76584,0.151705,2,0.0230145,17.4571,-0.494627
12.5,2,5.57415,1.76517,4.12505,0.198622,1.5,0.0394505,39.1786,-0.615403
12.5,3,4.99581,1.00988,4.97426,0.37977,1,0.144225,273.862,-0.0347323
13,0,5.53251,2.61321,5.70736,1.22719,10.5,1.50601,9240.81,-3.26816
13,1,3.42466,2.13601,6.02112,0.151705,2.5,0.0230145,17.4571,-0.494627
13,2,5.86123,2.14775,3.68758,0.198622,2,0.0394505,39.1786,-0.615403
13,3,5.05847,1.12393,5.04006,0.609549,1.5,0.37155,1132.39,-0.103448
13.5,0,5.5888,2.73582,5.73763,1.22719,11,1.50601,9240.81,-3.26816
13.5,1,3.03083,2.42002,6.2764,0.151705,3,0.0230145,17.4571,-0.494627
13.5,2,6.14831,2.53033,3.2501,0.198622,2.5,0.0394505,39.1786,-0.615403
13.5,3,5.04113,1.24551,4.80185,0.624537,2,0.390047,1217.99,0.712995
14,0,5.64508,2.85844,5.76791,1.22719,11.5,1.50601,9240.81,-3.26816
14,1,2.637,2.70402,6.53168,0.151705,3.5,0.0230145,17.4571,-0.494627
14,2,6.43539,2.91291,2.81263,0.198622,3,0.0394505,39.1786,-0.615403
14,3,5.00619,1.30739,4.64369,0.698675,2.5,0.488147,1705.28,0.703734
14.5,0,5.70137,2.98105,5.79818,1.22719,12,1.50601,9240.81,-3.26816
14.5,1,2.24316,2.98802,6.78696,0.151705,4,0.0230145,17.4571,-0.494627
14.5,2,6.72246,3.2955,2.37515,0.198622,3.5,0.0394505,39.1786,-0.615403
14.5,3,5.04311,1.45267,4.41222,0.698675,3,0.488147,1705.28,0.703734
14.5,4,5,1,5,0.0785574,0.5,0.00617127,2.42399,0.847353
15,0,5.75766,3.10366,5.82845,1.22719,12.5,1.50601,9240.81,-3.26816
15,1,1.84933,3.27203,7.04224,0.151705,4.5,0.0230145,17.4571,-0.494627
15,2,7.00954,3.67808,1.93768,0.198622,4,0.0394505,39.1786,-0.615403
